"Date","category","n","perc","Stratification","Group","Organisation"
2025-08-02,"Normal",43,54.4303797468354,"sex","male","Overall"
2025-08-02,"Normal",5,71.4285714285714,"sex","other/prefer not to share","Overall"
2025-08-02,"Obese",6,7.59493670886076,"sex","male","Overall"
2025-08-02,"Overweight",2,4.44444444444444,"sex","female","Overall"
2025-08-02,"Overweight",26,32.9113924050633,"sex","male","Overall"
2025-08-02,"Overweight",1,14.2857142857143,"sex","other/prefer not to share","Overall"
2025-08-02,"Underweight",17,37.7777777777778,"sex","female","Overall"
2025-08-02,"Underweight",4,5.06329113924051,"sex","male","Overall"
2025-08-02,"Underweight",1,14.2857142857143,"sex","other/prefer not to share","Overall"
2025-08-03,"Normal",27,61.3636363636364,"sex","female","Overall"
2025-08-03,"Normal",39,47.5609756097561,"sex","male","Overall"
2025-08-03,"Normal",4,80,"sex","other/prefer not to share","Overall"
2025-08-03,"Obese",4,4.8780487804878,"sex","male","Overall"
2025-08-03,"Overweight",2,4.54545454545455,"sex","female","Overall"
2025-08-03,"Overweight",36,43.9024390243902,"sex","male","Overall"
2025-08-03,"Overweight",1,20,"sex","other/prefer not to share","Overall"
2025-08-03,"Underweight",15,34.0909090909091,"sex","female","Overall"
2025-08-03,"Underweight",3,3.65853658536585,"sex","male","Overall"
2025-08-04,"Normal",26,56.5217391304348,"sex","female","Overall"
2025-08-04,"Normal",40,54.7945205479452,"sex","male","Overall"
2025-08-04,"Normal",2,50,"sex","other/prefer not to share","Overall"
2025-08-04,"Obese",2,2.73972602739726,"sex","male","Overall"
2025-08-04,"Overweight",2,4.34782608695652,"sex","female","Overall"
2025-08-04,"Overweight",27,36.986301369863,"sex","male","Overall"
2025-08-04,"Overweight",1,25,"sex","other/prefer not to share","Overall"
2025-08-04,"Underweight",18,39.1304347826087,"sex","female","Overall"
2025-08-04,"Underweight",4,5.47945205479452,"sex","male","Overall"
2025-08-04,"Underweight",1,25,"sex","other/prefer not to share","Overall"
2025-08-05,"Normal",27,52.9411764705882,"sex","female","Overall"
2025-08-05,"Normal",47,53.4090909090909,"sex","male","Overall"
2025-08-05,"Normal",2,66.6666666666667,"sex","other/prefer not to share","Overall"
2025-08-05,"Obese",6,6.81818181818182,"sex","male","Overall"
2025-08-05,"Overweight",1,1.96078431372549,"sex","female","Overall"
2025-08-05,"Overweight",30,34.0909090909091,"sex","male","Overall"
2025-08-05,"Underweight",23,45.0980392156863,"sex","female","Overall"
2025-08-05,"Underweight",5,5.68181818181818,"sex","male","Overall"
2025-08-05,"Underweight",1,33.3333333333333,"sex","other/prefer not to share","Overall"
2025-07-28,"Normal",16,47.0588235294118,"agegroup","30-44 years","Overall"
2025-07-28,"Normal",22,59.4594594594595,"agegroup","Over 45 years","Overall"
2025-07-28,"Normal",10,43.4782608695652,"agegroup","Under 30 years","Overall"
2025-07-28,"Obese",1,2.7027027027027,"agegroup","Over 45 years","Overall"
2025-07-28,"Obese",1,4.34782608695652,"agegroup","Under 30 years","Overall"
2025-07-28,"Overweight",8,23.5294117647059,"agegroup","30-44 years","Overall"
2025-07-28,"Overweight",11,29.7297297297297,"agegroup","Over 45 years","Overall"
2025-07-28,"Overweight",9,39.1304347826087,"agegroup","Under 30 years","Overall"
2025-07-28,"Underweight",10,29.4117647058824,"agegroup","30-44 years","Overall"
2025-07-28,"Underweight",3,8.10810810810811,"agegroup","Over 45 years","Overall"
2025-07-28,"Underweight",3,13.0434782608696,"agegroup","Under 30 years","Overall"
2025-07-29,"Normal",19,50,"agegroup","30-44 years","Overall"
2025-07-29,"Normal",25,62.5,"agegroup","Over 45 years","Overall"
2025-07-29,"Normal",11,40.7407407407407,"agegroup","Under 30 years","Overall"
2025-07-29,"Obese",1,2.5,"agegroup","Over 45 years","Overall"
2025-07-29,"Obese",2,7.40740740740741,"agegroup","Under 30 years","Overall"
